game_id,video_id,exposure_zone,exposure_time_seconds,avg_area_pct,avg_dist_ref_pct,video_url
22500422,sV46wyMzW8I,side-court-led-logo,395.6,0.7717,33.13,https://www.youtube.com/watch?v=sV46wyMzW8I
22500422,sV46wyMzW8I,mid-court-logo,515.92,1.6717,29.86,https://www.youtube.com/watch?v=sV46wyMzW8I
22500422,sV46wyMzW8I,back-court-logo,498.1,1.2242,24.66,https://www.youtube.com/watch?v=sV46wyMzW8I
22500422,sV46wyMzW8I,side-court-logo,496.9,0.2786,22.25,https://www.youtube.com/watch?v=sV46wyMzW8I
22500422,sV46wyMzW8I,basket-logo,485.49,0.1364,35.75,https://www.youtube.com/watch?v=sV46wyMzW8I
22500414,j6hruWo9v1Q,basket-logo,486.89,0.1719,34.97,https://www.youtube.com/watch?v=j6hruWo9v1Q
22500414,j6hruWo9v1Q,side-court-led-logo,220.42,0.9089,32.91,https://www.youtube.com/watch?v=j6hruWo9v1Q
22500414,j6hruWo9v1Q,side-court-logo,532.73,0.9656,25.02,https://www.youtube.com/watch?v=j6hruWo9v1Q
22500414,j6hruWo9v1Q,mid-court-logo,527.73,3.0281,33.53,https://www.youtube.com/watch?v=j6hruWo9v1Q
22500414,j6hruWo9v1Q,back-court-logo,498.5,1.0913,24.74,https://www.youtube.com/watch?v=j6hruWo9v1Q
22500414,lV861fJKedE,mid-court-logo,396.8,2.2439,29.29,https://www.youtube.com/watch?v=lV861fJKedE
22500414,lV861fJKedE,side-court-led-logo,178.98,1.2594,28.4,https://www.youtube.com/watch?v=lV861fJKedE
22500414,lV861fJKedE,side-court-logo,453.65,0.9404,25.65,https://www.youtube.com/watch?v=lV861fJKedE
22500414,lV861fJKedE,back-court-logo,421.02,1.2597,25.13,https://www.youtube.com/watch?v=lV861fJKedE
22500414,lV861fJKedE,basket-logo,410.81,0.2045,36.14,https://www.youtube.com/watch?v=lV861fJKedE
22500414,JpoojfxuydE,mid-court-logo,171.57,2.2753,30.05,https://www.youtube.com/watch?v=JpoojfxuydE
22500414,JpoojfxuydE,side-court-led-logo,84.88,1.2793,30.16,https://www.youtube.com/watch?v=JpoojfxuydE
22500414,JpoojfxuydE,side-court-logo,186.59,0.9232,26.91,https://www.youtube.com/watch?v=JpoojfxuydE
22500414,JpoojfxuydE,back-court-logo,170.57,1.285,23.98,https://www.youtube.com/watch?v=JpoojfxuydE
22500414,JpoojfxuydE,basket-logo,167.57,0.2051,34.65,https://www.youtube.com/watch?v=JpoojfxuydE
22500402,GMGhRQkBH2w,side-court-led-logo,540.14,0.7483,27.76,https://www.youtube.com/watch?v=GMGhRQkBH2w
22500402,GMGhRQkBH2w,basket-logo,506.71,0.1539,32.85,https://www.youtube.com/watch?v=GMGhRQkBH2w
22500402,GMGhRQkBH2w,back-court-logo,491.09,1.1764,22.13,https://www.youtube.com/watch?v=GMGhRQkBH2w
22500402,GMGhRQkBH2w,mid-court-logo,255.46,2.9415,28.0,https://www.youtube.com/watch?v=GMGhRQkBH2w
22500402,GMGhRQkBH2w,side-court-logo,8.01,0.4416,25.45,https://www.youtube.com/watch?v=GMGhRQkBH2w
22500402,N4l5B_uhVXg,basket-logo,504.6,0.1505,33.72,https://www.youtube.com/watch?v=N4l5B_uhVXg
22500402,N4l5B_uhVXg,side-court-led-logo,539.2,0.7341,27.06,https://www.youtube.com/watch?v=N4l5B_uhVXg
22500402,N4l5B_uhVXg,back-court-logo,475.8,1.1171,23.62,https://www.youtube.com/watch?v=N4l5B_uhVXg
22500402,N4l5B_uhVXg,mid-court-logo,321.0,2.4593,27.56,https://www.youtube.com/watch?v=N4l5B_uhVXg
22500402,N4l5B_uhVXg,side-court-logo,4.4,0.429,28.7,https://www.youtube.com/watch?v=N4l5B_uhVXg
22500012,dzmo-vRlw9M,basket-logo,516.32,0.1807,37.73,https://www.youtube.com/watch?v=dzmo-vRlw9M
22500012,dzmo-vRlw9M,side-court-logo,539.54,0.5413,27.89,https://www.youtube.com/watch?v=dzmo-vRlw9M
22500012,dzmo-vRlw9M,back-court-logo,524.32,1.8446,26.94,https://www.youtube.com/watch?v=dzmo-vRlw9M
22500012,dzmo-vRlw9M,side-court-led-logo,383.98,1.1191,32.35,https://www.youtube.com/watch?v=dzmo-vRlw9M
