game_id,title,url,video_id,channel,duration,view_count,like_count,comment_count
22500054,"Houston Rockets vs Denver Nuggets - FULL GAME HIGHLIGHTS | November 21, 2025 NBA Cup",https://www.youtube.com/watch?v=ru_F-Nym-SY,ru_F-Nym-SY,Ximo Pierto,573,8244,152,10.0
22500267,"San Antonio Spurs vs Atlanta Hawks Full Game Highlights - November 20, 2025 | NBA Season",https://www.youtube.com/watch?v=0Rf7SCccD5Y,0Rf7SCccD5Y,GAMETIME HIGHLIGHTS,576,213642,1830,101.0
22500267,"San Antonio Spurs vs Atlanta Hawks - FULL GAME HIGHLIGHTS | November 20, 2025 NBA Season",https://www.youtube.com/watch?v=qePKOUY_rkQ,qePKOUY_rkQ,Ximo Pierto,573,6526,145,9.0
22500267,"San Antonio Spurs vs Atlanta Hawks Full Game Highlights - November 20, 2025 | NBA Season",https://www.youtube.com/watch?v=-LAGyov0lz0,-LAGyov0lz0,Swish NBA,576,2087,42,
22500267,San Antonio Spurs vs Atlanta Hawks Full Game Highlights | Nov 20 | 2026 NBA Season,https://www.youtube.com/watch?v=gGf__2NVTog,gGf__2NVTog,Hooper Highlights,597,3114,125,4.0
22500267,San Antonio Spurs vs Atlanta Hawks | Full Game Highlights | November 20 | 2025-26 NBA Season,https://www.youtube.com/watch?v=09LufmHeRRM,09LufmHeRRM,The CCB Network,611,11190,151,6.0
22500244,"New York Knicks vs Miami Heat Full Game Highlights | Nov 17, 2025 | FreeDawkins",https://www.youtube.com/watch?v=uGTSxXKbnF4,uGTSxXKbnF4,,705,10728,340,15.0
22500244,New York Knicks vs Miami Heat | Full Game Highlights | November 17 | 2025-26 NBA Season,https://www.youtube.com/watch?v=bIdEKiCvqoo,bIdEKiCvqoo,The CCB Network,613,42858,365,15.0
22500244,New York Knicks vs Miami Heat Full Game Highlights | Nov 17 | 2026 NBA Season,https://www.youtube.com/watch?v=8MVMdFrC7kA,8MVMdFrC7kA,Hooper Highlights,595,2767,116,2.0
22500244,"New York Knicks vs Miami Heat - FULL GAME HIGHLIGHTS | November 17, 2025 NBA Season",https://www.youtube.com/watch?v=Vf9mDqEYfzg,Vf9mDqEYfzg,Ximo Pierto,577,3372,90,7.0
22500244,"Miami HEAT 1st Half Highlights vs. the Knicks | November 17, 2025",https://www.youtube.com/watch?v=PTigfvan60M,PTigfvan60M,Luis Claudio De Jesús Charles,374,1043,53,4.0
22500245,"Toronto Raptors vs Charlotte Hornets - Full Team Highlights | Nov 17, 2025",https://www.youtube.com/watch?v=OEAdiCeAIkc,OEAdiCeAIkc,Raptors Nation,582,16960,253,30.0
